candidate_id,rank,score,reasoning
CAND_0006418,29,190.836000,"Machine Learning Engineer with 5.7 years; profile pairs Learning to Rank with Semantic Search, enough applied depth to stay in serious consideration. Availability signals are favorable, which matters for a founding-team hire."
CAND_0011687,30,189.923500,"Senior NLP Engineer with 7.8 years; profile pairs Semantic Search with Embeddings, enough applied depth to stay in serious consideration. Availability signals are favorable, which matters for a founding-team hire."
CAND_0044222,31,188.309000,"AI Engineer with 7.7 years; profile pairs Vector Search with BM25, enough applied depth to stay in serious consideration. Availability signals are favorable, which matters for a founding-team hire."
CAND_0099806,32,187.026000,"AI Engineer with 4.6 years; profile pairs Embeddings with BM25, enough applied depth to stay in serious consideration. Availability signals are favorable, which matters for a founding-team hire."
CAND_0076251,33,186.931000,"Search Engineer with 7.6 years; profile pairs Learning to Rank with Semantic Search, enough applied depth to stay in serious consideration. Main concern: no linked GitHub."
CAND_0066999,34,186.903000,"Recommendation Systems Engineer with 5.9 years; profile pairs Information Retrieval with Embeddings, enough applied depth to stay in serious consideration. Main concern: title leads support evidence too much."
CAND_0069905,35,185.587500,"Applied ML Engineer with 6.6 years; profile pairs Learning to Rank with Sentence Transformers, enough applied depth to stay in serious consideration. Main concern: 90-day notice."
CAND_0088025,36,185.489500,"Staff Machine Learning Engineer with 8.6 years; profile pairs Learning to Rank with BM25, enough applied depth to stay in serious consideration. Main concern: 90-day notice."
CAND_0078492,37,185.449500,"Recommendation Systems Engineer with 5.1 years; profile pairs BM25 with FAISS, enough applied depth to stay in serious consideration. Availability signals are favorable, which matters for a founding-team hire."
CAND_0075574,38,185.023000,"Machine Learning Engineer with 5.7 years; profile pairs Vector Search with BM25, enough applied depth to stay in serious consideration. Availability signals are favorable, which matters for a founding-team hire."
CAND_0011162,39,183.431500,"Recommendation Systems Engineer with 5.8 years; profile pairs Vector Search with Embeddings, enough applied depth to stay in serious consideration. Main concern: 90-day notice."
CAND_0026532,40,180.315000,"Recommendation Systems Engineer with 4.8 years; profile pairs Information Retrieval with Semantic Search, enough applied depth to stay in serious consideration. Main concern: 90-day notice."
CAND_0065195,41,180.091500,"Search Engineer with 5.1 years; relevant signals are Learning to Rank and Qdrant, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: title leads support evidence too much."
CAND_0077285,42,177.947500,"Recommendation Systems Engineer with 5.5 years; relevant signals are Information Retrieval and Embeddings, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
CAND_0018549,43,177.656000,"Recommendation Systems Engineer with 6.8 years; relevant signals are Weaviate and Qdrant, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
CAND_0008239,44,175.845000,"AI Engineer with 4.0 years; relevant signals are Semantic Search and Vector Search, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
CAND_0076163,45,174.192000,"NLP Engineer with 6.9 years; relevant signals are Semantic Search and BM25, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
CAND_0039383,46,174.150000,"Applied ML Engineer with 7.1 years; relevant signals are Vector Search and FAISS, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: 90-day notice."
CAND_0066376,47,173.812500,"Applied ML Engineer with 5.7 years; relevant signals are Learning to Rank and Information Retrieval, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: 90-day notice."
CAND_0008425,48,172.957500,"Senior NLP Engineer with 7.8 years; relevant signals are Learning to Rank and Information Retrieval, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: 90-day notice."
CAND_0052682,49,171.196500,"NLP Engineer with 6.6 years; relevant signals are Semantic Search and Embeddings, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
CAND_0004402,50,166.924500,"AI Research Engineer with 6.0 years; relevant signals are Learning to Rank and Sentence Transformers, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: no linked GitHub."
CAND_0040117,51,165.043500,"Recommendation Systems Engineer with 6.5 years; relevant signals are Embeddings and BM25, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: title leads support evidence too much."
CAND_0006567,52,164.673000,"Senior AI Engineer with 7.9 years; relevant signals are BM25 and Recommendation Systems, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: title leads support evidence too much."
CAND_0017960,53,163.213500,"Recommendation Systems Engineer with 7.7 years; relevant signals are Information Retrieval and Qdrant, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: title leads support evidence too much."
CAND_0037566,54,162.820500,"Machine Learning Engineer with 6.9 years; relevant signals are BM25 and Pinecone, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: title leads support evidence too much."
CAND_0014440,55,162.657000,"Recommendation Systems Engineer with 6.4 years; relevant signals are FAISS and Milvus, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: title leads support evidence too much."
CAND_0047542,56,161.737500,"Senior Software Engineer (ML) with 5.0 years; relevant signals are Learning to Rank and Embeddings, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
CAND_0011327,57,159.885000,"AI Research Engineer with 6.3 years; relevant signals are Semantic Search and Sentence Transformers, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: no linked GitHub."
CAND_0025882,58,159.799500,"Senior Software Engineer (ML) with 5.6 years; relevant signals are Vector Search and FAISS, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
CAND_0040178,59,159.477000,"ML Engineer with 5.0 years; relevant signals are Learning to Rank and Vector Search, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
CAND_0005649,60,159.412500,"Senior Data Scientist with 7.4 years; relevant signals are Information Retrieval and Semantic Search, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: 90-day notice."
CAND_0024147,61,157.377000,"ML Engineer with 5.9 years; relevant signals are Learning to Rank and Qdrant, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
CAND_0098952,62,156.270500,"AI Research Engineer with 5.5 years; relevant signals are Semantic Search and OpenSearch, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
CAND_0093883,63,155.634500,"AI Research Engineer with 5.0 years; relevant signals are Semantic Search and Embeddings, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: no linked GitHub."
CAND_0033179,64,155.489000,"AI Research Engineer with 6.9 years; relevant signals are Information Retrieval and OpenSearch, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: consulting-heavy background."
CAND_0029367,65,154.864500,"Senior Data Scientist with 5.7 years; relevant signals are Vector Search and Sentence Transformers, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: 90-day notice."
CAND_0008295,66,154.698000,"AI Research Engineer with 6.5 years; relevant signals are BM25 and Weaviate, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
CAND_0068932,67,153.049000,"ML Engineer with 5.2 years; relevant signals are Milvus and OpenSearch, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
CAND_0091909,68,152.693000,"Machine Learning Engineer with 6.9 years; relevant signals are Learning to Rank and Sentence Transformers, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: title leads support evidence too much."
CAND_0025640,69,151.036000,"AI Research Engineer with 5.6 years; relevant signals are Information Retrieval and Semantic Search, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: consulting-heavy background."
CAND_0060257,70,150.944000,"AI Specialist with 5.8 years; relevant signals are Vector Search and Milvus, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
CAND_0098846,71,148.691500,"AI Engineer with 7.6 years; relevant signals are Qdrant and Recommendation Systems, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
CAND_0006538,72,148.428000,"AI Specialist with 5.7 years; relevant signals are Learning to Rank and Elasticsearch, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: no linked GitHub."
CAND_0081053,73,148.078000,"NLP Engineer with 5.4 years; relevant signals are Learning to Rank and Semantic Search, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: 90-day notice."
CAND_0074735,74,147.686000,"Applied ML Engineer with 5.5 years; relevant signals are Learning to Rank and Information Retrieval, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: 90-day notice."
CAND_0067866,75,147.516000,"Senior Software Engineer (ML) with 6.4 years; relevant signals are Embeddings and Qdrant, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
CAND_0095528,76,146.386000,"Senior Data Scientist with 5.3 years; relevant signals are Semantic Search and Vector Search, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: no linked GitHub."
CAND_0064904,77,146.363000,"AI Engineer with 4.9 years; relevant signals are Vector Search and Embeddings, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: 90-day notice."
CAND_0010541,78,146.306500,"AI Research Engineer with 6.2 years; relevant signals are BM25 and Pinecone, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
CAND_0016659,79,146.233500,"ML Engineer with 4.4 years; relevant signals are Information Retrieval and Sentence Transformers, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
CAND_0051615,80,146.148000,"Search Engineer with 4.6 years; relevant signals are Vector Search and Sentence Transformers, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
CAND_0065786,81,144.894000,"AI Specialist with 4.9 years; relevant signals are Learning to Rank and Semantic Search, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
CAND_0053605,82,144.875000,"Senior Software Engineer (ML) with 6.9 years; relevant signals are Semantic Search and BM25, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: no linked GitHub."
CAND_0052706,83,144.210000,"AI Research Engineer with 5.1 years; relevant signals are Information Retrieval and Pinecone, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: no linked GitHub."
CAND_0098454,84,144.096000,"AI Specialist with 6.6 years; relevant signals are Vector Search and Embeddings, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
CAND_0043381,85,142.500000,"AI Research Engineer with 3.6 years; relevant signals are BM25 and Pinecone, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
CAND_0001610,86,142.425000,"Machine Learning Engineer with 3.0 years; relevant signals are Information Retrieval and Sentence Transformers, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: profile years mismatch."
CAND_0007596,87,140.733000,"Junior ML Engineer with 4.4 years; relevant signals are Semantic Search and Vector Search, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: no linked GitHub."
CAND_0048558,88,139.507000,"Data Scientist with 6.7 years; relevant signals are Information Retrieval and Qdrant, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: no linked GitHub."
CAND_0037160,89,139.422000,"Data Scientist with 6.0 years; relevant signals are Semantic Search and Vector Search, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
CAND_0043860,90,139.385000,"Junior ML Engineer with 6.1 years; relevant signals are Information Retrieval and Semantic Search, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: no linked GitHub."
CAND_0046459,91,138.897000,"AI Research Engineer with 4.5 years; relevant signals are Semantic Search and BM25, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
CAND_0049978,92,138.436000,"Senior Software Engineer (ML) with 6.6 years; relevant signals are Embeddings and BM25, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
CAND_0012837,93,137.313000,"Junior ML Engineer with 6.4 years; relevant signals are Semantic Search and Vector Search, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: no linked GitHub."
CAND_0098780,94,136.819500,"AI Research Engineer with 5.9 years; relevant signals are Semantic Search and Sentence Transformers, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: no linked GitHub."
CAND_0039838,95,136.808000,"Recommendation Systems Engineer with 4.9 years; relevant signals are Semantic Search and Vector Search, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: 90-day notice."
CAND_0078002,96,135.916500,"Machine Learning Engineer with 6.3 years; relevant signals are Weaviate and pgvector, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: title leads support evidence too much."
CAND_0096823,97,135.468000,"Data Scientist with 4.4 years; relevant signals are Sentence Transformers and Pinecone, but still weaker than higher-ranked retrieval-heavy profiles. Main concern: no linked GitHub."
CAND_0059795,98,135.318000,"Senior Software Engineer (ML) with 5.6 years; relevant signals are Python and Machine Learning, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
CAND_0082086,99,134.862000,"Senior Software Engineer (ML) with 6.0 years; relevant signals are FAISS and Pinecone, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
CAND_0064888,100,134.505000,"ML Engineer with 5.8 years; relevant signals are Learning to Rank and Embeddings, but still weaker than higher-ranked retrieval-heavy profiles. Availability signals are favorable, which matters for a founding-team hire."
